method,delta_macro_f1_a2_minus_a1,delta_micro_f1_a2_minus_a1,delta_exact_set_a2_minus_a1,delta_example_jaccard_a2_minus_a1,delta_act_cpmr_a2_minus_a1,delta_means_cpmr_a2_minus_a1,delta_purpose_cpmr_a2_minus_a1,significance_claim,reference_terminology
M1,0.013168744791775544,-0.009968102073365182,-0.0027911289841300443,-0.012174727203786206,-0.016632007087998585,0.03566952665574086,0.009043625162394986,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M2,-0.0071281962284439615,-0.012308575982300063,-0.003727626209068413,-0.020333935122672342,-0.07247294946128457,0.038198987297608705,0.07593890732809083,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M3,-0.021163606907329324,0.006794806385718388,-0.0044575431637997875,-0.002069343014413527,0.027658802844380825,-0.001565419380901878,0.0030114812723508466,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
M4,-0.03362405990328465,0.00545440031572364,-0.013299178728659107,0.0006040995164543483,0.06549971767363072,0.00027084968760471284,0.012041334416732052,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
