fold,method,n,macro_f1,micro_f1,example_jaccard,exact_set_accuracy,act_cpmr,means_cpmr,purpose_cpmr,macro_supported_label_count,status,reference_terminology
1,M1,288,0.5103996047226297,0.7041821764834684,0.5454539191518358,0.0,0.1284722222222222,0.1111111111111111,0.7048611111111112,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
1,M2,288,0.5243286551598623,0.721958174904943,0.5641923662756996,0.010416666666666666,0.1736111111111111,0.1736111111111111,0.8541666666666666,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
1,M3,288,0.5983582524154492,0.7603778986544517,0.6264606920856921,0.07291666666666667,0.5,0.5069444444444444,0.7951388888888888,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
1,M4,288,0.6058426311874111,0.7610305004441812,0.6293716218195384,0.07291666666666667,0.5590277777777778,0.5451388888888888,0.8506944444444444,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
2,M1,287,0.45470996927736296,0.7089337175792507,0.5486591031887198,0.003484320557491289,0.13937282229965156,0.0975609756097561,0.8641114982578397,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
2,M2,287,0.5201825594116118,0.6957364341085271,0.5340559749967414,0.0,0.16376306620209058,0.11498257839721254,0.8571428571428571,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
2,M3,287,0.5065659967421776,0.6901779828609097,0.5224273403715912,0.024390243902439025,0.5156794425087108,0.3170731707317073,0.7909407665505227,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
2,M4,287,0.4762830749489575,0.673567977915804,0.5050548174241555,0.0313588850174216,0.5609756097560976,0.34843205574912894,0.8048780487804879,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
3,M1,286,0.45332396700908684,0.7006755182855812,0.5430841691331201,0.0,0.13286713286713286,0.23076923076923078,0.7587412587412588,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
3,M2,286,0.5172199209484101,0.6994562530894711,0.5401941783934792,0.013986013986013986,0.19230769230769232,0.24125874125874125,0.8286713286713286,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
3,M3,286,0.5763553540048402,0.7302325581395349,0.5825555951430078,0.03146853146853147,0.513986013986014,0.4755244755244755,0.6993006993006993,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
3,M4,286,0.5764602785909432,0.7360527894421116,0.589748916584581,0.045454545454545456,0.5944055944055944,0.4825174825174825,0.7517482517482518,16,DESCRIPTIVE_FOLD_RESULT,SHERLOC Legacy Keywords silver reference
