method,n,macro_f1,macro_f1_ci_lower,macro_f1_ci_upper,micro_f1,micro_f1_ci_lower,micro_f1_ci_upper,exact_set_accuracy,exact_set_accuracy_ci_lower,exact_set_accuracy_ci_upper,example_jaccard,example_jaccard_ci_lower,example_jaccard_ci_upper,act_cpmr,act_mean_contained_recall,means_cpmr,means_mean_contained_recall,purpose_cpmr,purpose_mean_contained_recall,macro_supported_label_count,macro_label_rule,reference_terminology
M1,861,0.47984484500934504,0.46518742049402184,0.49705367807099615,0.7045454545454546,0.6959534718255133,0.714220738755209,0.0011614401858304297,0.0,0.003484320557491289,0.545735149480794,0.5357331605676552,0.5575749473941983,0.13356562137049943,0.961304347826087,0.14634146341463414,0.8458994708994708,0.775842044134727,0.9583333333333333,16,16_POSITIVE_SUPPORT_LABELS; ORGAN_REMOVAL_RETAINED_AS_PREDICTION_DIMENSION,SHERLOC Legacy Keywords silver reference
M2,861,0.5274875865728823,0.5072156386823569,0.5469264064948371,0.7058633500242287,0.6968745301443386,0.7153964602261891,0.008130081300813009,0.003484320557491289,0.013966318234610892,0.5461753790151003,0.5358526500599671,0.5573382178216673,0.1765389082462253,0.8994517543859649,0.1765389082462253,0.7861842105263158,0.8466898954703833,0.9495884773662552,16,16_POSITIVE_SUPPORT_LABELS; ORGAN_REMOVAL_RETAINED_AS_PREDICTION_DIMENSION,SHERLOC Legacy Keywords silver reference
M3,861,0.5722573707446506,0.5522657825730574,0.5901958176116461,0.7286043945018561,0.7184655620821303,0.7384946319380332,0.0429732868757259,0.029036004645760744,0.05807200929152149,0.5771988690107156,0.5634689234819897,0.5908393850793677,0.5098722415795587,0.787129840546697,0.4332171893147503,0.7561215370866845,0.7619047619047619,0.9646849593495934,16,16_POSITIVE_SUPPORT_LABELS; ORGAN_REMOVAL_RETAINED_AS_PREDICTION_DIMENSION,SHERLOC Legacy Keywords silver reference
M4,861,0.5680938243015192,0.5477892334926079,0.5872654595475544,0.7259860547403476,0.7149217008063932,0.7369531626087785,0.04994192799070848,0.036004645760743324,0.06390824622531938,0.5747711380115561,0.5602528815551463,0.5899214752372417,0.5714285714285714,0.7656165311653117,0.45876887340301975,0.7479746835443037,0.8025551684088269,0.9691268692715872,16,16_POSITIVE_SUPPORT_LABELS; ORGAN_REMOVAL_RETAINED_AS_PREDICTION_DIMENSION,SHERLOC Legacy Keywords silver reference
