evaluation,n,comparison,delta_macro_f1_m4_minus_m3,delta_micro_f1_m4_minus_m3,delta_exact_set_accuracy_m4_minus_m3,delta_example_jaccard_m4_minus_m3,delta_act_cpmr_m4_minus_m3,delta_means_cpmr_m4_minus_m3,delta_purpose_cpmr_m4_minus_m3,delta_act_mean_contained_recall_m4_minus_m3,delta_means_mean_contained_recall_m4_minus_m3,delta_purpose_mean_contained_recall_m4_minus_m3,significance_claim,reference_terminology
A1,253,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,0.008296906552824002,-0.001277933691513744,0.015810276679841896,-0.00510117353002737,0.02371541501976282,0.023715415019762875,0.031620553359683834,0.0022092725409836866,0.011778996865203673,0.010312499999999947,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,861,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,-0.004163546443131327,-0.0026183397615084925,0.006968641114982577,-0.002427730999159494,0.061556329849012714,0.025551684088269466,0.04065040650406504,-0.021513309381385293,-0.008146853542380761,0.004441909921993781,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
