candidate_set_rank,candidate_set_id,status,ranking_basis,search_ranks_json,case_ids_json,jurisdictions_json,amp_label_ids_covered_json,act_labels_covered,means_labels_covered,purpose_labels_covered,total_amp_labels_covered,form_coverage_json,total_fact_summary_word_count,mean_fact_summary_word_count,total_modernbert_summary_tokens,rare_label_coverage_score,candidate_set_membership_sha256,warning_or_ambiguity_flags,review_notes
1,demo-bank-proposal-set-01-v1,PROPOSED_NOT_FROZEN,CONCISE_REVIEW_PRIORITY,"[31,146,955,1293,1494,1517]","[""MLTx001"",""MKD007"",""GTM001"",""ALB012"",""HUN005"",""JOR008""]","[""Malta"",""North Macedonia"",""Guatemala"",""Albania"",""Hungary"",""Jordan""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",5,6,6,17,"[""INTERNAL"",""TRANSNATIONAL""]",628,104.667,758,1.330418090,d18fcb41d0d6f5fb8cb66a842598a23dbf14f2740cb94edd630b03394d111221,HUMAN_LABEL_SUPPORT_REVIEW_REQUIRED|REFERENCE_LABELS_MAY_EXCEED_NARRATIVE_SUPPORT,"Review Legacy Slavery/Servitude, Transfer, Fraud, Internal Form, and the focal-victim status in rank 1517."
2,demo-bank-proposal-set-02-v1,PROPOSED_NOT_FROZEN,NARRATIVE_SUPPORT_PRIORITY,"[154,326,465,764,1487,1517]","[""ZAF011"",""FRA013"",""NIC003"",""ALB005"",""MKD008"",""JOR008""]","[""South Africa"",""International and Regional Bodies"",""Nicaragua"",""Albania"",""North Macedonia"",""Jordan""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",5,6,6,17,"[""INTERNAL"",""TRANSNATIONAL""]",1393,232.167,1744,1.330418090,85c8de73d05c97626f49a7e8baed168258808801d413718131270efc3b67b4c5,HUMAN_LABEL_SUPPORT_REVIEW_REQUIRED|REFERENCE_LABELS_MAY_EXCEED_NARRATIVE_SUPPORT,"Better narrative support; rank 326 is long, rank 465 is an interrupted scheme, rank 1487 may omit narratively evident Deception, and rank 1517 remains ambiguous."
3,demo-bank-proposal-set-03-v1,PROPOSED_NOT_FROZEN,WEIGHTED_SET_COVER,"[625,1211,1294,1517,1545,1560]","[""MOZ001"",""TUR010"",""FRA012"",""JOR008"",""KHM010"",""OMN005""]","[""Mozambique"",""Türkiye"",""France"",""Jordan"",""Cambodia"",""Oman""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",5,6,6,17,"[""INTERNAL"",""TRANSNATIONAL""]",538,89.667,708,1.330418090,0ac1d35ec0f35fbbd15fd611edc6fa96ec7410d7c88295afa24885a91a9011f7,HUMAN_LABEL_SUPPORT_REVIEW_REQUIRED|REFERENCE_LABELS_MAY_EXCEED_NARRATIVE_SUPPORT,High weighted coverage score; review sparse support for Legacy labels and rank 1517 focal-victim status.
4,demo-bank-proposal-set-04-v1,PROPOSED_NOT_FROZEN,WEIGHTED_SET_COVER,"[625,1110,1211,1517,1525,1560]","[""MOZ001"",""NGA008"",""TUR010"",""JOR008"",""LTU004"",""OMN005""]","[""Mozambique"",""Nigeria"",""Türkiye"",""Jordan"",""Lithuania"",""Oman""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",5,6,6,17,"[""INTERNAL"",""TRANSNATIONAL""]",555,92.500,717,1.330418090,37003e679d79d1cadb358c9dcba2e70b3496c3d2964ce9da005d499ea6c78a99,HUMAN_LABEL_SUPPORT_REVIEW_REQUIRED|REFERENCE_LABELS_MAY_EXCEED_NARRATIVE_SUPPORT,High weighted coverage score; review sparse support for Legacy labels and Form values.
5,demo-bank-proposal-set-05-v1,PROPOSED_NOT_FROZEN,WEIGHTED_SET_COVER,"[625,1211,1294,1510,1525,1560]","[""MOZ001"",""TUR010"",""FRA012"",""JOR017"",""LTU004"",""OMN005""]","[""Mozambique"",""Türkiye"",""France"",""Jordan"",""Lithuania"",""Oman""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",5,6,6,17,"[""INTERNAL"",""TRANSNATIONAL""]",571,95.167,760,1.330418090,74936ecd653b78ce75dffd031a5131b22b11b0e37fd1190b0adeed0dc942f1a2,HUMAN_LABEL_SUPPORT_REVIEW_REQUIRED|REFERENCE_LABELS_MAY_EXCEED_NARRATIVE_SUPPORT,High weighted coverage score; review sparse support for Legacy labels and Form values.
6,demo-bank-proposal-set-06-v1,PROPOSED_NOT_FROZEN,WEIGHTED_SET_COVER,"[955,1110,1256,1517,1545,1560]","[""GTM001"",""NGA008"",""ALB013"",""JOR008"",""KHM010"",""OMN005""]","[""Guatemala"",""Nigeria"",""Albania"",""Jordan"",""Cambodia"",""Oman""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",5,6,6,17,"[""INTERNAL"",""TRANSNATIONAL""]",572,95.333,703,1.330418090,e2139fa01afbb1b918cfdd6630e14764842eb316f382d04c96733f5c134e3150,HUMAN_LABEL_SUPPORT_REVIEW_REQUIRED|REFERENCE_LABELS_MAY_EXCEED_NARRATIVE_SUPPORT,High weighted coverage score; review sparse support for Legacy labels and rank 1517 focal-victim status.
7,demo-bank-proposal-set-07-v1,PROPOSED_NOT_FROZEN,WEIGHTED_SET_COVER,"[625,1110,1211,1510,1525,1545]","[""MOZ001"",""NGA008"",""TUR010"",""JOR017"",""LTU004"",""KHM010""]","[""Mozambique"",""Nigeria"",""Türkiye"",""Jordan"",""Lithuania"",""Cambodia""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",5,6,6,17,"[""INTERNAL"",""TRANSNATIONAL""]",579,96.500,743,1.330418090,5fdbd0d7a36942843348f7f9ca746e3c516fb25d06ddc973a0c82ba113dcdf31,HUMAN_LABEL_SUPPORT_REVIEW_REQUIRED|REFERENCE_LABELS_MAY_EXCEED_NARRATIVE_SUPPORT,High weighted coverage score; review sparse support for Legacy labels and Form values.
8,demo-bank-proposal-set-08-v1,PROPOSED_NOT_FROZEN,CONCISE_ALTERNATIVE,"[31,741,955,1494,1517,1529]","[""MLTx001"",""ALB007"",""GTM001"",""HUN005"",""JOR008"",""OMN004""]","[""Malta"",""Albania"",""Guatemala"",""Hungary"",""Jordan"",""Oman""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",5,6,6,17,"[""INTERNAL"",""TRANSNATIONAL""]",689,114.833,829,1.330418090,a0a8b516afe518c216b5d60ea731e885a58694094f7cf4b09dd9f2d1aa23ab00,HUMAN_LABEL_SUPPORT_REVIEW_REQUIRED|REFERENCE_LABELS_MAY_EXCEED_NARRATIVE_SUPPORT,Concise alternative; review Legacy labels against the narrative and rank 1517 focal-victim status.
9,demo-bank-proposal-set-09-v1,PROPOSED_NOT_FROZEN,CONCISE_ALTERNATIVE,"[27,31,146,310,1293,1517]","[""SLE0001"",""MLTx001"",""MKD007"",""NOR009"",""ALB012"",""JOR008""]","[""Sierra Leone"",""Malta"",""North Macedonia"",""Norway"",""Albania"",""Jordan""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",5,6,6,17,"[""INTERNAL"",""TRANSNATIONAL""]",589,98.167,739,1.330418090,e4eb68b7c8f240ebc8f6e9a8486c703f63f3beb928b8165c5264f0c62f5e8913,HUMAN_LABEL_SUPPORT_REVIEW_REQUIRED|REFERENCE_LABELS_MAY_EXCEED_NARRATIVE_SUPPORT,Concise alternative; review Legacy labels against the narrative and rank 1517 focal-victim status.
