method,prediction_variant,fold_1_macro_f1,fold_2_macro_f1,fold_3_macro_f1,pooled_ood_macro_f1,pooled_ood_macro_f1_ci_lower,pooled_ood_macro_f1_ci_upper,pooled_micro_f1,pooled_micro_f1_ci_lower,pooled_micro_f1_ci_upper,pooled_exact_set_accuracy,pooled_exact_set_accuracy_ci_lower,pooled_exact_set_accuracy_ci_upper,pooled_example_jaccard,pooled_example_jaccard_ci_lower,pooled_example_jaccard_ci_upper,pooled_act_cpmr,pooled_act_mean_contained_recall,pooled_means_cpmr,pooled_means_mean_contained_recall,pooled_purpose_cpmr,pooled_purpose_mean_contained_recall,test_n,macro_label_count,macro_label_ids_json,zero_reference_support_label_ids_json,reference_terminology
M1,PRIMARY,0.5103996047226297,0.45470996927736296,0.45332396700908684,0.47984484500934504,0.46518742049402184,0.49705367807099615,0.7045454545454546,0.6959534718255133,0.714220738755209,0.0011614401858304297,0.0,0.003484320557491289,0.545735149480794,0.5357331605676552,0.5575749473941983,0.13356562137049943,0.961304347826087,0.14634146341463414,0.8458994708994708,0.775842044134727,0.9583333333333333,861,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]","[""PURPOSE_REMOVAL_OF_ORGANS""]",SHERLOC Legacy Keywords silver reference
M2,PRIMARY,0.5243286551598623,0.5201825594116118,0.5172199209484101,0.5274875865728823,0.5072156386823569,0.5469264064948371,0.7058633500242287,0.6968745301443386,0.7153964602261891,0.008130081300813009,0.003484320557491289,0.013966318234610892,0.5461753790151003,0.5358526500599671,0.5573382178216673,0.1765389082462253,0.8994517543859649,0.1765389082462253,0.7861842105263158,0.8466898954703833,0.9495884773662552,861,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]","[""PURPOSE_REMOVAL_OF_ORGANS""]",SHERLOC Legacy Keywords silver reference
M3,PRIMARY,0.5983582524154492,0.5065659967421776,0.5763553540048402,0.5722573707446506,0.5522657825730574,0.5901958176116461,0.7286043945018561,0.7184655620821303,0.7384946319380332,0.0429732868757259,0.029036004645760744,0.05807200929152149,0.5771988690107156,0.5634689234819897,0.5908393850793677,0.5098722415795587,0.787129840546697,0.4332171893147503,0.7561215370866845,0.7619047619047619,0.9646849593495934,861,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]","[""PURPOSE_REMOVAL_OF_ORGANS""]",SHERLOC Legacy Keywords silver reference
M4,PRIMARY,0.6058426311874111,0.4762830749489575,0.5764602785909432,0.5680938243015192,0.5477892334926079,0.5872654595475544,0.7259860547403476,0.7149217008063932,0.7369531626087785,0.04994192799070848,0.036004645760743324,0.06390824622531938,0.5747711380115561,0.5602528815551463,0.5899214752372417,0.5714285714285714,0.7656165311653117,0.45876887340301975,0.7479746835443037,0.8025551684088269,0.9691268692715872,861,16,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_OTHER""]","[""PURPOSE_REMOVAL_OF_ORGANS""]",SHERLOC Legacy Keywords silver reference
