metric,m3_zero_shot,m4_six_shot,delta_m4_minus_m3,test_n,comparison,significance_claim
macro_f1,0.5934209776519799,0.6017178842048039,0.008296906552824002,253,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
micro_f1,0.7218095881161377,0.720531654424624,-0.001277933691513744,253,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
exact_set_accuracy,0.04743083003952569,0.06324110671936758,0.015810276679841896,253,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
example_jaccard,0.5792682120251291,0.5741670384951018,-0.00510117353002737,253,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
act_cpmr,0.48221343873517786,0.5059288537549407,0.02371541501976282,253,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
means_cpmr,0.43478260869565216,0.45849802371541504,0.023715415019762875,253,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
purpose_cpmr,0.758893280632411,0.7905138339920948,0.031620553359683834,253,M4_SIX_SHOT_MINUS_M3_ZERO_SHOT,NOT_TESTED_DO_NOT_INFER
