method,prediction_variant,macro_f1,macro_f1_ci_lower,macro_f1_ci_upper,micro_f1,micro_f1_ci_lower,micro_f1_ci_upper,exact_set_accuracy,exact_set_accuracy_ci_lower,exact_set_accuracy_ci_upper,example_jaccard,example_jaccard_ci_lower,example_jaccard_ci_upper,test_n,macro_label_count,macro_label_ids_json,zero_reference_support_label_ids_json,act_cpmr,act_mean_contained_recall,means_cpmr,means_mean_contained_recall,purpose_cpmr,purpose_mean_contained_recall,reference_terminology
M1,PRIMARY,0.4666761002175695,0.4482936121958436,0.483431120354238,0.7145135566188198,0.6958086356569282,0.7317880628133134,0.003952569169960474,0.0,0.011857707509881422,0.5579098766845803,0.5357704814399479,0.5779718420578105,253,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",[],0.15019762845849802,0.9526315789473683,0.11067193675889328,0.905952380952381,0.766798418972332,0.9561855670103093,SHERLOC Legacy Keywords silver reference
M2,PRIMARY,0.5346157828013263,0.5024276614975334,0.5613755127362856,0.7181719260065288,0.7009001085782023,0.7347601715567376,0.011857707509881422,0.0,0.02766798418972332,0.5665093141377726,0.5458074887892082,0.5869843674660867,253,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",[],0.2490118577075099,0.9134920634920635,0.1383399209486166,0.8795238095238095,0.7707509881422925,0.952991452991453,SHERLOC Legacy Keywords silver reference
M3,PRIMARY,0.5934209776519799,0.5183155740858126,0.6186100107214493,0.7218095881161377,0.7004060912051663,0.7411402876041683,0.04743083003952569,0.023715415019762844,0.07509881422924901,0.5792682120251291,0.5517931098600565,0.6041395322398286,253,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",[],0.48221343873517786,0.769535519125683,0.43478260869565216,0.763939393939394,0.758893280632411,0.9505208333333334,SHERLOC Legacy Keywords silver reference
M4,PRIMARY,0.6017178842048039,0.5284076646558614,0.6282280473200462,0.720531654424624,0.698897822413148,0.7391068248866447,0.06324110671936758,0.03557312252964427,0.09486166007905138,0.5741670384951018,0.5456146496783848,0.5995389779851242,253,17,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT"",""MEANS_THREAT_FORCE_OR_COERCION"",""MEANS_ABDUCTION"",""MEANS_FRAUD"",""MEANS_DECEPTION"",""MEANS_ABUSE_OF_POWER_OR_VULNERABILITY"",""MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL"",""PURPOSE_SEXUAL_EXPLOITATION"",""PURPOSE_FORCED_LABOUR_OR_SERVICES"",""PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES"",""PURPOSE_SERVITUDE"",""PURPOSE_REMOVAL_OF_ORGANS"",""PURPOSE_OTHER""]",[],0.5059288537549407,0.7717447916666667,0.45849802371541504,0.7757183908045977,0.7905138339920948,0.9608333333333333,SHERLOC Legacy Keywords silver reference
