method,evaluation,scope,test_n,act_cpmr,act_mean_contained_recall,act_cpmr_success_count,means_cpmr,means_mean_contained_recall,means_cpmr_success_count,purpose_cpmr,purpose_mean_contained_recall,purpose_cpmr_success_count,reference_terminology
M1,A1,TEST,253,0.15019762845849802,0.9526315789473683,38,0.11067193675889328,0.905952380952381,28,0.766798418972332,0.9561855670103093,194,SHERLOC Legacy Keywords silver reference
M2,A1,TEST,253,0.2490118577075099,0.9134920634920635,63,0.1383399209486166,0.8795238095238095,35,0.7707509881422925,0.952991452991453,195,SHERLOC Legacy Keywords silver reference
M3,A1,TEST,253,0.48221343873517786,0.769535519125683,122,0.43478260869565216,0.763939393939394,110,0.758893280632411,0.9505208333333334,192,SHERLOC Legacy Keywords silver reference
M4,A1,TEST,253,0.5059288537549407,0.7717447916666667,128,0.45849802371541504,0.7757183908045977,116,0.7905138339920948,0.9608333333333333,200,SHERLOC Legacy Keywords silver reference
